g,p,rtgs
กระหมุบกระหมิบ,kra-1 mup2 kra-1 mip2,kramupkramip
กระหม่อม,kra-1 mXm2,kramom
กระหยิ่ม,kra-1 jim2,krayim
กระหย่ง,kra-1 joN2,krayong
กระหวัด,kra-1 wat2,krawat
กระหัง,kra-1 haN5,krahang
กระหาง,kra-1 hAN5,krahang
กระหาย,kra-1 hAj5,krahai
กระหายน้ำ,kra-1 hAj5 nAm4,krahainam
กระหายเลือด,kra-1 hAj5 lWt3,krahailueat
กระหึม,kra-1 hvm5,krahuem
กระหึ่ม,kra-1 hvm2,krahuem
กระหืดกระหอบ,kra-1 hVt2 kra-1 hXp2,krahuetkrahop
กระอัก,kra-1 ?ak2,kraak
กระอักกระอ่วน,kra-1 ?ak2 kra-1 ?Rn2,kraakkrauan
กระอึกกระอัก,kra-1 ?vk2 kra-1 ?ak2,krauekkraak
กระอ้อมกระแอ้ม,kra-1 ?xm3 kra-1 ?ym3,kraomkraaem
กระเจอะกระเจิง,kra-1 cz?2 kra-1 cZN1,krachoekrachoeng
กระเจา,kra-1 caw1,krachao
กระเจิง,kra-1 cZN1,krachoeng
กระเจิดกระเจิง,kra-1 cZt2 kra-1 cZN1,krachoetkrachoeng
กระเจี๊ยบ,kra-1 cJp4,krachiap
กระเจี๊ยว,kra-1 cJw4,krachiao
กระเฉด,kra-1 CEt2,krachet
กระเชอ,kra-1 CZ-1,krachoe
กระเชอก้นรั่ว,kra-1 CZ-1 kon3 rR-3,krachoekonrua
กระเช้า,kra-1 Caw4,krachao
กระเช้าไฟฟ้า,kra-1 Caw4 faj1 fA-4,krachaofaifa
กระเซอะกระเซิง,kra-1 sz?4 kra-1 sZN1,krasoekrasoeng
กระเซิง,kra-1 sZN1,krasoeng
กระเซ็น,kra-1 sen1,krasen
กระเซ้า,kra-1 sAw4,krasao
กระเซ้ากระซี้,kra-1 sAw4 kra-1 sI-4,krasaokrasi
กระเดียด,kra-1 dJt2,kradiat
กระเดี้ย,kra-1 dJ-3,kradia
กระเดือก,kra-1 dWk2,kradueak
กระเดื่อง,kra-1 dWN2,kradueang
กระเด็น,kra-1 den1,kraden
กระเด้ง,kra-1 deN3,kradeng
กระเด้า,kra-1 daw3,kradao
กระเตง,kra-1 tEN1,krateng
กระเตื้อง,kra-1 tWN3,kratueang
กระเต็น,kra-1 ten1,kraten
กระเถิบ,kra-1 TZp2,krathoep
กระเทียบ,kra-1 TJp3,krathiap
กระเทียม,kra-1 TJm1,krathiam
กระเทียมโทน,kra-1 TJm1 TOn1,krathiamthon
กระเทือน,kra-1 TWn1,krathuean
กระเทือนใจ,kra-1 TWn1 caj1,krathueanchai
กระเท่,kra-1 Te?3,krathe
กระเท่เร่,kra-1 Te?3 re?3,krathere
กระเบง,kra-1 bEN1,krabeng
กระเบน,kra-1 bEn1,kraben
กระเบนเหน็บ,kra-1 bEn1 nep2,krabennep
กระเบา,kra-1 baw1,krabao
กระเบียด,kra-1 bJt2,krabiat
กระเบียดกระเสียร,kra-1 bJt2 kra-1 sJn5,krabiatkrasian
กระเบียน,kra-1 bJn1,krabian
กระเบื้อง,kra-1 bWN3,krabueang
กระเบื้องดินเผา,kra-1 bWN3 din1 Paw5,krabueangdinphao
กระเบื้องยาง,kra-1 bWN3 jAN1,krabueangyang
กระเบื้องลอน,kra-1 bWN3 lXn1,krabueanglon
กระเบื้องเคลือบ,kra-1 bWN3 KlWp3,krabueangkhlueap
กระเปาะ,kra-1 px-2,krapo
กระเป๋า,kra-1 paw5,krapao
กระเป๋าฉีก,kra-1 paw5 CIk2,krapaochik
กระเป๋าถือ,kra-1 paw5 TV-5,krapaothue
กระเป๋านักเรียน,kra-1 paw5 nak4 rJn1,krapaonakrian
กระเป๋าน้ำร้อน,kra-1 paw5 nAm4 rXn4,krapaonamron
กระเป๋าสะพาย,kra-1 paw5 sa?2 PAj1,krapaosaphai
กระเป๋าหนัก,kra-1 paw5 nak2,krapaonak
กระเป๋าหิ้ว,kra-1 paw5 hiw3,krapaohio
กระเป๋าเดินทาง,kra-1 paw5 dZn1 TAN1,krapaodoenthang
กระเป๋าเสื้อ,kra-1 paw5 sW-3,krapaosuea
กระเป๋าเอกสาร,kra-1 paw5 ?Ek2 ka-2 sAn5,krapaoekkasan
กระเป๋าไฟฟ้า,kra-1 paw5 faj1 fA-4,krapaofaifa
กระเพาะ,kra-1 Px?4,krapho
กระเพาะปลา,kra-1 Px?4 plA-1,kraphopla
กระเพาะปัสสาวะ,kra-1 Px?4 pat2 sA-5 wa?4,kraphopatsawa
กระเพาะอาหาร,kra-1 Px?4 ?A-1 hAn5,kraphoahan
กระเพื่อม,kra-1 PWm3,kraphueam
กระเรียน,kra-1 rJn1,krarian
กระเสาะกระแสะ,kra-1 sx?2 kra-1 sy?2,krasokrasae
กระเสือกกระสน,kra-1 sWk2 kra-1 son5,krasueakkrason
กระเส็นกระสาย,kra-1 sen5 kra-1 sAj5,krasenkrasai
กระเส่า,kra-1 saw2,krasao
กระเหม็ดกระแหม่,kra-1 met2 kra-1 mY-2,krametkramae
กระเหี้ยนกระหือรือ,kra-1 hJn3 kra-1 hV-5 rV-1,krahiankrahuerue
กระแชง,kra-1 CYN1,krachaeng
กระแซะ,kra-1 sy?4,krasae
กระแดะ,kra-1 dy?2,kradae
กระแดะกระแด๋,kra-1 dy?2 kra-1 dY-5,kradaekradae
กระแต,kra-1 tY-1,kratae
กระแทก,kra-1 TYk3,krathaek
กระแทกกระทั้น,kra-1 TYk3 kra-1 Tan4,krathaekkrathan
กระแทกเสียง,kra-1 TYk3 sJN5,krathaeksiang
กระแทกแดกดัน,kra-1 TYk3 dYk2 dan1,krathaekdaekdan
กระแทะ,kra-1 Ty?4,krathae
กระแท่น,kra-1 Tyn3,krathaen
กระแนะกระแหน,kra-1 ny?4 kra-1 nY-5,kranaekranae
กระแบะมือ,kra-1 by?2 mV-1,krabaemue
กระแส,kra-1 sY-5,krasae
กระแสข่าว,kra-1 sY-5 KAw2,krasaekhao
กระแสความ,kra-1 sY-5 KwAm1,krasaekhwam
กระแสความคิด,kra-1 sY-5 KwAm1 Kit4,krasaekhwamkhit
กระแสจิต,kra-1 sY-5 cit2,krasaechit
กระแสตรง,kra-1 sY-5 troN1,krasaetrong
กระแสน้ำ,kra-1 sY-5 nAm4,krasaenam
กระแสพระราชดำรัส,kra-1 sY-5 Pra-4 rAt3 Ca-1 dam1 rat2,krasaephraratchadamrat
กระแสรายวัน,kra-1 sY-5 rAj1 wan1,krasaeraiwan
กระแสลม,kra-1 sY-5 lom1,krasaelom
กระแสสลับ,kra-1 sY-5 sa-1 lap2,krasaesalap
กระแสสังคม,kra-1 sY-5 saN5 Kom1,krasaesangkhom
กระแสเงิน,kra-1 sYN5 ?zn1,krasaengoen
กระแสเลือด,kra-1 sY-5 lWt3,krasaelueat
กระแสไฟ,kra-1 sY-5 faj1,krasaefai
กระแสไฟฟ้า,kra-1 sY-5 faj1 fA-4,krasaefaifa
กระแห,kra-1 hY-5,krahae
กระแหนะกระแหน,kra-1 ny?2 kra-1 nY-5,kranaekranae
กระแอม,kra-1 ?Ym1,kraaem
กระแอมกระไอ,kra-1 ?Ym1 kra-1 ?aj1,kraaemkraai
กระโจน,kra-1 cOn1,krachon
กระโจม,kra-1 cOm1,krachom
กระโจมทอง,kra-1 cOm1 TXN1,krachomthong
กระโจมอก,kra-1 cOm1 ?ok2,krachomok
กระโจมไฟ,kra-1 cOm1 faj1,krachomfai
กระโฉกกระเฉก,kra-1 COk2 kra-1 CEk2,krachokkrachek
กระโชก,kra-1 COk3,krachok
กระโชกกระชาก,kra-1 COk3 kra-1 CAk3,krachokkrachak
กระโชกโฮกฮาก,kra-1 COk3 hOk3 hAk3,krachokhokhak
กระโดกกระเดก,kra-1 dOk2 kra-1 dEk2,kradokkradek
กระโดง,kra-1 dON1,kradong
กระโดด,kra-1 dOt2,kradot
กระโดดร่ม,kra-1 dOt2 rom3,kradotrom
กระโดดสูง,kra-1 dOt2 sUN5,kradotsung
กระโดดโลดเต้น,kra-1 dOt2 lOt3 ten3,kradotlotten
กระโดดไกล,kra-1 dOt2 klaj1,kradotklai
กระโดน,kra-1 dOn1,kradon
กระโตกกระตาก,kra-1 tOk2 kra-1 tAk2,kratokkratak
กระโถน,kra-1 TOn5,krathon
กระโถนท้องพระโรง,kra-1 TOn5 TXN4 Pra-4 rON1,krathonthongphrarong
กระโถนปากแตร,kra-1 TOn5 pAk2 trY-1,krathonpaktrae
กระโปก,kra-1 pOk2,krapok
กระโปรง,kra-1 prON1,kraprong
กระโปรงชั้นใน,kra-1 prON1 Can4 naj1,kraprongchannai
กระโปรงหลังรถ,kra-1 prON1 laN5 rot4,krapronglangrot
กระโหย่ง,kra-1 jON2,krayong
กระโห้,kra-1 hO-3,kraho
กระใด,kra-1 daj1,kradai
กระได,kra-1 daj1,kradai
กระไน,kra-1 naj1,kranai
กระไร,kra-1 raj1,krarai
กระไอ,kra-1 ?aj1,kraai
กระไอกระแอม,kra-1 ?aj1 kra-1 ?Ym1,kraaikraaem
กรับพวง,krap2 PRN1,krapphuang
กราดเกรี้ยว,krAt2 krJw3,kratkriao
กราบกราน,krAp2 krAn1,krapkran
กราบทูล,krAp2 TUn1,krapthun
กราบบังคมทูล,krAp2 baN1 Kom1 TUn1,krapbangkhomthun
กราบบังคมทูลพระกรุณา,krAp2 baN1 Kom1 TUn1 Pra-4 ka-2 ru?4 nA-1,krapbangkhomthunphrakaruna
กราบลา,krAp2 lA-1,krapla
กราบเท้า,krAp2 TAw4,krapthao
กราบเรียน,krAp2 rJn1,kraprian
กราบไหว้,krAp2 waj3,krapwai
กราฟิก,kra-1 fik4,krafik
กราวรูด,kraw1 rUt3,kraorut
กริยา,ka-2 ri?4 jA-1,kariya
กริยานุเคราะห์,kri?2 jA-1 nu?4 Krx?4,kriyanukhro
กริยาวลี,ka-2 ri?4 jA-1 wa-4 lI-1,kariyawali
กริยาวิเศษณ์,ka-2 ri?4 jA-1 wi?4 sEt2,kariyawiset
กริยาสกรรม,kri?2 jA-1 sa-1 kam1,kriyasakam
กริ่งเกรง,kriN2 krEN1,kringkreng
กริ่งใจ,kriN2 caj1,kringchai
กรีฑา,krI-1 TA-1,kritha
กรีฑาประเภทลาน,krI-1 TA-1 pra-1 PEt3 lAn1,krithapraphetlan
กรีฑาประเภทลู่,krI-1 TA-1 pra-1 PEt3 lU-3,krithapraphetlu
กรีฑาสถาน,krI-1 TA-1 sa-1 TAn5,krithasathan
กรีดกราด,krIt2 krAt2,kritkrat
กรีดกราย,krIt2 krAj1,kritkrai
กรีดนิ้ว,krIt2 niw4,kritnio
กรีดร้อง,krIt2 rXN4,kritrong
กรีธา,krI-1 TA-1,kritha
กรีธาทัพ,krI-1 TA-1 Tap4,krithathap
กรีนิช,krI-1 nit4,krinit
กรีษ,ka-1 rIt2,karit
กรี๊ดกร๊าด,krIt4 krAt4,kritkrat
กรุงคาบูล,kruN1 KA-1 bUn1,krungkhabun
กรุงรัตนโกสินทร์,kruN1 rat4 ta-1 na-4 kO-1 sin5,krungrattanakosin
กรุงศรีอยุธยา,kruN1 sI-5 ?a-2 jut4 jA-1,krungsiayutya
กรุงเก่า,kruN1 kaw2,krungkao
กรุงเทพ,kruN1 TEp3,krungthep
กรุงเทพมหานคร,kruN1 TEp3 ma-4 hA-5 na-4 KXn1,krungthepmahanakhon
กรุงเทพฯ,kruN1 TEp3,krungthep
กรุงไทย,kruN1 Taj1,krungthai
กรุณา,ka-2 ru?4 nA-1,karuna
กรุยกราย,kruj1 krAj1,kruikrai
กรุยทาง,kruj1 TAN1,kruithang
กรุสมบัติ,kru?2 som5 bat2,krusombat
กรุ้มกริ่ม,krum3 krim2,krumkrim
กร็อกกร๋อย,krxk2 krXj5,krokkroi
กร่อม ๆ,krXm2 krXm2,kromkrom
กฤษฎาภินิหาร,krit2 sa-1 dA-1 Pi?4 ni?4 hAn5,kritsadaphinihan
กฤษฎี,krit2 sa-1 dI-1,kritsadi
กฤษฎีกา,krit2 sa-1 dI-1 kA-1,kritsadika
กฤษณะ,krit2 sa-1 na?4,kritsana
กฤษณา,krit2 sa?2 nA-5,kritsana
กลบเกลื่อน,klop2 klWn2,klopkluean
กลมกลืน,klom1 klVn1,klomkluen
กลมกล่อม,klom1 klXm2,klomklom
กลมดิก,klom1 dik2,klomdik
กลมเกลียว,klom1 klJw1,klomkliao
กลยุทธ์,kon1 la-4 jut4,konlayut
กลยุทธ์เชิงรุก,kon1 la-4 jut4 CZN1 ruk4,konlayutchoengruk
กลลวง,kon1 lRN1,konluang
กลวิธี,kon1 la-4 wi?4 TI-1,konlawithi
กลศาสตร์,kon1 la-4 sAt2,konlasat
กลอกกลิ้ง,klXk2 kliN3,klokkling
กลอกตา,klXk2 tA-1,klokta
กลอกลูกตา,klXk2 lUk3 tA-1,kloklukta
กลองต๊อก,klXN1 txk4,klongtok
กลองยาว,klXN1 jAw1,klongyao
กลองสะบัดชัย,klXN1 sa?2 bat2 Caj1,klongsabatchai
กลอนตลาด,klXn1 ta-2 lAt2,klontalat
กลอนลิลิต,klXn1 li?4 lit4,klonlilit
กลอนเพลงยาว,klXn1 PlEN1 jAw1,klonphlengyao
กลอนแปด,klXn1 pYt2,klonpaet
กลอุบาย,kon1 ?u?2 bAj1,konubai
กลอเรีย,klX-1 rJ-1,kloria
กลัดกระดุม,klat2 kra-1 dum1,klatkradum
กลัดกลุ้ม,klat2 klum3,klatklum
กลัดมัน,klat2 man1,klatman
กลับกลอก,klap2 klXk2,klapklok
กลับกลาย,klap2 klAj1,klapklai
กลับกัน,klap2 kan1,klapkan
กลับคำ,klap2 Kam1,klapkham
กลับคืน,klap2 KVn1,klapkhuen
กลับชาติมาเกิด,klap2 CAt3 mA-1 kZt2,klapchatmakoet
กลับด้าน,klap2 dAn3,klapdan
กลับตัว,klap2 tR-1,klaptua
กลับตัวกลับใจ,klap2 tR-1 klap2 caj1,klaptuaklapchai
กลับตาลปัตร,klap2 tA-1 la-4 pat2,klaptalapat
กลับบ้าน,klap2 bAn3,klapban
กลับบ้านเก่า,klap2 bAn3 kaw2,klapbankao
กลับมา,klap2 mA-1,klapma
กลับรถ,klap2 rot4,klaprot
กลับลำ,klap2 lam1,klaplam
กลับหน้ามือเป็นหลังมือ,klap2 nA-3 mV-1 pen1 laN5 mV-1,klapnamuepenlangmue
กลับเนื้อกลับตัว,klap2 nW-4 klap2 tR-1,klapnueaklaptua
กลับเป็น,klap2 pen1,klappen
กลับใจ,klap2 caj1,klapchai
กลับไปกลับมา,klap2 paj1 klap2 mA-1,klappaiklapma
กลัวลาน,klR-1 lAn1,klualan
กลัวหัวหด,klR-1 hR-5 hot2,kluahuahot
กลั่นกรอง,klan2 krXN1,klankrong
กลั่นตัว,klan2 tR-1,klantua
กลั่นแกล้ง,klan2 klYN3,klanklaeng
กลั้นวาจา,klan3 wA-1 cA-1,klanwacha
กลั้นหายใจ,klan3 hAj5 caj1,klanhaichai
กลั้นใจ,klan3 caj1,klanchai
กลั้วคอ,klR-3 KX-1,kluakho
กลั้วเกลี้ย,klR-3 klJ-3,kluaklia
กลางกรุง,klAN1 kruN1,klangkrung
กลางคน,klAN1 Kon1,klangkhon
กลางคัน,klAN1 Kan1,klangkhan
กลางคืน,klAN1 KVn1,klangkhuen
กลางดึก,klAN1 dvk2,klangduek
กลางทาง,klAN1 TAN1,klangthang
กลางบ้าน,klAN1 bAn3,klangban
กลางปี,klAN1 pI-1,klangpi
กลางฝ่ามือ,klAN1 fA-2 mV-1,klangfamue
กลางวัน,klAN1 wan1,klangwan
กลางวันแสกๆ,klAN1 wan1 sYk2 sYk2,klangwansaeksaek
กลางหาว,klAN1 hAw5,klanghao
กลางเก่ากลางใหม่,klAN1 kaw2 klAN1 maj2,klangkaoklangmai
กลางเดือน,klAN1 dWn1,klangduean
กลางเมือง,klAN1 mWN1,klangmueang
กลางเวหา,klAN1 wE-1 hA-5,klangweha
กลางแจ้ง,klAN1 cYN3,klangchaeng
กลาดเกลื่อน,klAt2 klWn2,klatkluean
กลายพันธุ์,klAj1 Pan1,klaiphan
กลายร่าง,klAj1 rAN3,klairang
กลายเป็น,klAj1 pen1,klaipen
กลาโหม,ka-2 lA-1 hOm5,kalahom
กลิ่นตัว,klin2 tR-1,klintua
กลิ่นหอม,klin2 hXm5,klinhom
กลิ่นอับ,klin2 ?ap2,klinap
กลิ่นอาย,klin2 ?Aj1,klinai
กลิ่นไอ,klin2 ?aj1,klinai
กลิ้งเกลือก,kliN3 klWk2,klingklueak
กลีบดอกไม้,klIp2 dXk2 mAj4,klipdokmai
กลียุค,ka-2 lI-1 juk4,kaliyuk
กลืนน้ำลายตัวเอง,klVn1 nAm4 lAj1 tR-1 ?EN1,kluennamlaituaeng
กลืนไม่ลง,klVn1 maj3 loN1,kluenmailong
กลืนไม่เข้าคายไม่ออก,klVn1 maj3 Kaw3 KAj1 maj3 ?Xk2,kluenmaikhaokhaimaiok
กลุ่มก้อน,klum2 kXn3,klumkon
กลุ่มคน,klum2 Kon1,klumkhon
กลุ่มชน,klum2 Con1,klumchon
กลุ่มชาติพันธุ์,klum2 CAt3 ti-2 Pan1,klumchattiphan
กลุ่มตัวอย่าง,klum2 tR-1 jAN2,klumtuayang
กลุ่มผลประโยชน์,klum2 Pon5 pra-1 jOt2,klumphonprayot
กลุ่มอายุ,klum2 ?A-1 ju?4,klumayu
กลุ่มเป้าหมาย,klum2 paw3 mAj5,klumpaomai
กลุ่มเรียกร้อง,klum2 rJk3 rXN4,klumriakrong
กลุ้มรุม,klum3 rum1,klumrum
กลุ้มอกกลุ้มใจ,klum3 ?ok2 klum3 caj1,klumokklumchai
กลุ้มใจ,klum3 caj1,klumchai
กลูโคส,klU-1 KOt3,klukhot
กลเม็ด,kon1 la-4 met4,konlamet
กลเม็ดเด็ดพราย,kon1 la-4 met4 det2 PrAj1,konlametdetphrai
กลโกง,kon1 kON1,konkong
กลไก,kon1 kaj1,konkai
กล่องดนตรี,klXN2 don1 trI-1,klongdontri
กล่องดำ,klXN2 dam1,klongdam
กล่องเสียง,klXN2 sJN5,klongsiang
กล่องโฟม,klXN2 fOm1,klongfom
กล่อมหอ,klxm2 hX-5,klomho
กล่อมเกลา,klXm2 klaw1,klomklao
กล่อมเกลี้ยง,klXm2 klJN3,klomkliang
กล่าวขวัญ,klAw2 Kwan5,klaokhwan
กล่าวขาน,klAw2 KAn5,klaokhan
กล่าวคือ,klAw2 KV-1,klaokhue
กล่าวตอบ,klAw2 tXp2,klaotop
กล่าวถึง,klAw2 TvN5,klaothueng
กล่าวย้ำ,klAw2 jam4,klaoyam
กล่าวร้าย,klAw2 rAj4,klaorai
กล่าวว่า,klAw2 wA-3,klaowa
กล่าวสรุป,klAw2 sa-1 rup2,klaosarup
กล่าวสุนทรพจน์,klAw2 sun5 TX-1 ra-4 Pot4,klaosunthoraphot
กล่าวหา,klAw2 hA-5,klaoha
กล่าวอ้าง,klAw2 ?AN3,klaoang
กล่าวเตือน,klAw2 tWn1,klaotuean
กล่าวเท็จ,klAw2 Tet4,klaothet
กล่าวโดยย่อ,klAw2 dOj1 jX-3,klaodoiyo
กล่าวโทษ,klAw2 TOt3,klaothot
กล้วยตาก,klRj3 tAk2,kluaitak
กล้วยน้ำว้า,klRj3 nAm4 wA-4,kluainamwa
กล้วยบวชชี,klRj3 bRt2 CI-1,kluaibuatchi
กล้วยหอม,klRj3 hXm5,kluaihom
กล้วยแขก,klRj3 KYk2,kluaikhaek
กล้วยไข่,klRj3 Kaj2,kluaikhai
กล้วยไม้,klRj3 mAj4,kluaimai
กล้องขยาย,klXN3 Ka-1 jAj5,klongkhayai
กล้องจุลทรรศน์,klXN3 cun1 Tat4,klongchunthat
กล้องดูดาว,klXN3 dU-1 dAw1,klongdudao
กล้องถ่ายภาพ,klXN3 TAj2 PAp3,klongthaiphap
กล้องถ่ายรูป,klXN3 TAj2 rUp3,klongthairup
กล้องยาสูบ,klXN3 jA-1 sUp2,klongyasup
กล้องยาเส้น,klXN3 jA-1 sen3,klongyasen
กล้องระดับ,klXN3 ra?4 dap2,klongradap
กล้องวงจรปิด,klXN3 woN1 cXn1 pit2,klongwongchonpit
กล้องวัดมุม,klXN3 wat4 mum1,klongwatmum
กล้องสนาม,klXN3 sa-1 nAm5,klongsanam
กล้องสองตา,klXN3 sXN5 tA-1,klongsongta
กล้องสำรวจ,klXN3 sam5 rRt2,klongsamruat
กล้องส่องทางไกล,klXN3 sXN2 TAN1 klaj1,klongsongthangklai
กล้องแกล้ง,klXN3 klYN3,klongklaeng
กล้องโทรทรรศน์,klXN3 TO-1 ra-4 Tat4,klongthorathat
กล้องโทรทัศน์,klXN3 TO-1 ra-4 Tat4,klongthorathat
กล้อมแกล้ม,klxm3 klym3,klomklaem
กล้ามเนื้อ,klAm3 nW-4,klamnuea
กล้าหาญ,klA-3 hAn5,klahan
กล้าเสี่ยง,klA-3 sJN2,klasiang
